Year,Category,Nominee,Additional Info,Won?
2011 (84th),ACTOR IN A LEADING ROLE,Demián Bichir,A Better Life {"Carlos Galindo"},no
2011 (84th),ACTOR IN A LEADING ROLE,George Clooney,The Descendants {"Matt King"},no
2011 (84th),ACTOR IN A LEADING ROLE,Jean Dujardin,The Artist {"George Valentin"},yes
2011 (84th),ACTOR IN A LEADING ROLE,Gary Oldman,Tinker Tailor Soldier Spy {"George Smiley"},no
2011 (84th),ACTOR IN A LEADING ROLE,Brad Pitt,Moneyball {"Billy Beane"},no
2011 (84th),ACTOR IN A SUPPORTING ROLE,Kenneth Branagh,My Week with Marilyn {"Sir Laurence Olivier"},no
2011 (84th),ACTOR IN A SUPPORTING ROLE,Jonah Hill,Moneyball {"Peter Brand"},no
2011 (84th),ACTOR IN A SUPPORTING ROLE,Nick Nolte,Warrior {"Paddy Conlon"},no
2011 (84th),ACTOR IN A SUPPORTING ROLE,Christopher Plummer,Beginners {"Hal"},yes
2011 (84th),ACTOR IN A SUPPORTING ROLE,Max von Sydow,Extremely Loud & Incredibly Close {"The Renter"},no
2011 (84th),ACTRESS IN A LEADING ROLE,Glenn Close,Albert Nobbs {"Albert Nobbs"},no
2011 (84th),ACTRESS IN A LEADING ROLE,Viola Davis,The Help {"Aibileen Clark"},no
2011 (84th),ACTRESS IN A LEADING ROLE,Rooney Mara,The Girl with the Dragon Tattoo {"Lisbeth Salander"},no
2011 (84th),ACTRESS IN A LEADING ROLE,Meryl Streep,The Iron Lady {"Margaret Thatcher"},yes
2011 (84th),ACTRESS IN A LEADING ROLE,Michelle Williams,My Week with Marilyn {"Marilyn Monroe"},no
2011 (84th),ACTRESS IN A SUPPORTING ROLE,Bérénice Bejo,The Artist {"Peppy Miller"},no
2011 (84th),ACTRESS IN A SUPPORTING ROLE,Jessica Chastain,The Help {"Celia Foote"},no
2011 (84th),ACTRESS IN A SUPPORTING ROLE,Melissa McCarthy,Bridesmaids {"Megan"},no
2011 (84th),ACTRESS IN A SUPPORTING ROLE,Janet McTeer,Albert Nobbs {"Hubert Page"},no
2011 (84th),ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,The Help {"Minny Jackson"},yes
2011 (84th),ANIMATED FEATURE FILM,A Cat in Paris,Alain Gagnol and Jean-Loup Felicioli,no
2011 (84th),ANIMATED FEATURE FILM,Chico & Rita,Fernando Trueba and Javier Mariscal,no
2011 (84th),ANIMATED FEATURE FILM,Kung Fu Panda 2,Jennifer Yuh Nelson,no
2011 (84th),ANIMATED FEATURE FILM,Puss in Boots,Chris Miller,no
2011 (84th),ANIMATED FEATURE FILM,Rango,Gore Verbinski,yes
2011 (84th),ART DIRECTION,The Artist,Production Design: Laurence Bennett; Set Decoration: Robert Gould,no
2011 (84th),ART DIRECTION,Harry Potter and the Deathly Hallows Part 2,Production Design: Stuart Craig; Set Decoration: Stephenie McMillan,no
2011 (84th),ART DIRECTION,Hugo,Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,yes
2011 (84th),ART DIRECTION,Midnight in Paris,Production Design: Anne Seibel; Set Decoration: Hélène Dubreuil,no
2011 (84th),ART DIRECTION,War Horse,Production Design: Rick Carter; Set Decoration: Lee Sandales,no
2011 (84th),CINEMATOGRAPHY,The Artist,Guillaume Schiffman,no
2011 (84th),CINEMATOGRAPHY,The Girl with the Dragon Tattoo,Jeff Cronenweth,no
2011 (84th),CINEMATOGRAPHY,Hugo,Robert Richardson,yes
2011 (84th),CINEMATOGRAPHY,The Tree of Life,Emmanuel Lubezki,no
2011 (84th),CINEMATOGRAPHY,War Horse,Janusz Kaminski,no
2011 (84th),COSTUME DESIGN,Anonymous,Lisy Christl,no
2011 (84th),COSTUME DESIGN,The Artist,Mark Bridges,yes
2011 (84th),COSTUME DESIGN,Hugo,Sandy Powell,no
2011 (84th),COSTUME DESIGN,Jane Eyre,Michael O'Connor,no
2011 (84th),COSTUME DESIGN,W.E.,Arianne Phillips,no
2011 (84th),DIRECTING,The Artist,Michel Hazanavicius,yes
2011 (84th),DIRECTING,The Descendants,Alexander Payne,no
2011 (84th),DIRECTING,Hugo,Martin Scorsese,no
2011 (84th),DIRECTING,Midnight in Paris,Woody Allen,no
2011 (84th),DIRECTING,The Tree of Life,Terrence Malick,no
2011 (84th),DOCUMENTARY (Feature),Hell and Back Again,Danfung Dennis and Mike Lerner,no
2011 (84th),DOCUMENTARY (Feature),If a Tree Falls: A Story of the Earth Liberation Front,Marshall Curry and Sam Cullman,no
2011 (84th),DOCUMENTARY (Feature),Paradise Lost 3: Purgatory,Joe Berlinger and Bruce Sinofsky,no
2011 (84th),DOCUMENTARY (Feature),Pina,Wim Wenders and Gian-Piero Ringel,no
2011 (84th),DOCUMENTARY (Feature),Undefeated,TJ Martin; Dan Lindsay and Rich Middlemas,yes
2011 (84th),DOCUMENTARY (Short Subject),The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,Robin Fryday and Gail Dolgin,no
2011 (84th),DOCUMENTARY (Short Subject),God Is the Bigger Elvis,Rebecca Cammisa and Julie Anderson,no
2011 (84th),DOCUMENTARY (Short Subject),Incident in New Baghdad,James Spione,no
2011 (84th),DOCUMENTARY (Short Subject),Saving Face,Daniel Junge and Sharmeen Obaid-Chinoy,yes
2011 (84th),DOCUMENTARY (Short Subject),The Tsunami and the Cherry Blossom,Lucy Walker and Kira Carstensen,no
2011 (84th),FILM EDITING,The Artist,Anne-Sophie Bion and Michel Hazanavicius,no
