Year,Category,Nominee,Additional.Info,Won.
1934 (7th),ACTOR,It Happened One Night ,Clark Gable,yes
1934 (7th),ACTOR,The Affairs of Cellini  ,Frank Morgan,no
1934 (7th),ACTOR,The Thin Man  ,William Powell,no
1934 (7th),ACTRESS,It Happened One Night ,Claudette Colbert,yes
1934 (7th),ACTRESS,Of Human Bondage  ,Bette Davis,no
1934 (7th),ACTRESS,NA,[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. Write-in candidate.],no
1934 (7th),ACTRESS,One Night of Love ,Grace Moore,no
1934 (7th),ACTRESS,The Barretts of Wimpole Street  ,Norma Shearer,no
1934 (7th),ART DIRECTION,The Affairs of Cellini,Richard Day [came in 3rd],no
1934 (7th),ART DIRECTION,The Gay Divorcee,Van Nest Polglase; Carroll Clark [came in 2nd],no
1934 (7th),ART DIRECTION,The Merry Widow,Cedric Gibbons; Fredric Hope,yes
1934 (7th),ART DIRECTION,NA,NA,no
1934 (7th),ASSISTANT DIRECTOR,Cleopatra,Cullen Tate [came in 2nd],no
1934 (7th),ASSISTANT DIRECTOR,Imitation of Life,Scott Beal [came in 3rd],no
1934 (7th),ASSISTANT DIRECTOR,Viva Villa!,John Waters,yes
1934 (7th),CINEMATOGRAPHY,The Affairs of Cellini,Charles Rosher [came in 3rd],no
1934 (7th),CINEMATOGRAPHY,Cleopatra,Victor Milner,yes
1934 (7th),CINEMATOGRAPHY,Operator 13,George Folsey [came in 2nd],no
1934 (7th),DIRECTING,It Happened One Night,Frank Capra,yes
1934 (7th),DIRECTING,One Night of Love,Victor Schertzinger [came in 3rd],no
1934 (7th),DIRECTING,The Thin Man,W. S. Van Dyke [came in 2nd],no
1934 (7th),FILM EDITING,Cleopatra,Anne Bauchens [came in 3rd],no
1934 (7th),FILM EDITING,Eskimo,Conrad Nervig,yes
1934 (7th),FILM EDITING,One Night of Love,Gene Milford [came in 2nd],no
1934 (7th),MUSIC (Scoring),The Gay Divorcee,RKO Radio Studio Music Department; Max Steiner; head of department (Score by Kenneth Webb and Samuel Hoffenstein) [came in 2nd],no
1934 (7th),MUSIC (Scoring),The Lost Patrol,RKO Radio Studio Music Department; Max Steiner; head of department (Score by Max Steiner) [came in 3rd],no
1934 (7th),MUSIC (Song),Carioca from Flying Down to Rio,Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [came in 3rd],no
1934 (7th),MUSIC (Song),The Continental from The Gay Divorcee,Music by Con Conrad; Lyrics by Herb Magidson,yes
1934 (7th),MUSIC (Song),Love In Bloom from She Loves Me Not,Music by Ralph Rainger; Lyrics by Leo Robin [came in 2nd],no
1934 (7th),OUTSTANDING PRODUCTION,The Barretts of Wimpole Street,Metro-Goldwyn-Mayer [came in 2nd],no
1934 (7th),OUTSTANDING PRODUCTION,Cleopatra,Paramount,no
1934 (7th),OUTSTANDING PRODUCTION,Flirtation Walk,First National,no
1934 (7th),OUTSTANDING PRODUCTION,The Gay Divorcee,RKO Radio,no
1934 (7th),OUTSTANDING PRODUCTION,Here Comes the Navy,Warner Bros.,no
1934 (7th),OUTSTANDING PRODUCTION,The House of Rothschild,20th Century [came in 3rd],no
1934 (7th),OUTSTANDING PRODUCTION,Imitation of Life,Universal,no
1934 (7th),OUTSTANDING PRODUCTION,It Happened One Night,Columbia,yes
1934 (7th),OUTSTANDING PRODUCTION,One Night of Love,Columbia,no
1934 (7th),OUTSTANDING PRODUCTION,The Thin Man,Metro-Goldwyn-Mayer,no
1934 (7th),OUTSTANDING PRODUCTION,Viva Villa!,Metro-Goldwyn-Mayer,no
1934 (7th),SHORT SUBJECT (Cartoon),Holiday Land,Charles Mintz; Producer [came in 3rd],no
1934 (7th),SHORT SUBJECT (Cartoon),Jolly Little Elves,Walter Lantz; Producer [came in 2nd],no
1934 (7th),SHORT SUBJECT (Cartoon),The Tortoise and the Hare,Walt Disney; Producer,yes
1934 (7th),SHORT SUBJECT (Comedy),La Cucaracha,Kenneth Macgowan; Producer,yes
1934 (7th),SHORT SUBJECT (Comedy),Men in Black,Jules White; Producer [came in 3rd],no
1934 (7th),SHORT SUBJECT (Comedy),What; No Men!,Warner Bros. [came in 2nd],no
1934 (7th),SHORT SUBJECT (Novelty),Bosom Friends,Skibo Productions [came in 3rd],no
1934 (7th),SHORT SUBJECT (Novelty),City of Wax,Stacy Woodard and Horace Woodard; Producers,yes
1934 (7th),SHORT SUBJECT (Novelty),Strikes and Spares,Pete Smith; Producer [came in 2nd],no
1934 (7th),SOUND RECORDING,The Affairs of Cellini,United Artists Studio Sound Department; Thomas T. Moulton; Sound Director,no
1934 (7th),SOUND RECORDING,Cleopatra,Paramount Studio Sound Department; Franklin B. Hansen; Sound Director,no
1934 (7th),SOUND RECORDING,Flirtation Walk,Warner Bros.-First National Studio Sound Department; Nathan Levinson; Sound Director [came in 2nd],no
1934 (7th),SOUND RECORDING,The Gay Divorcee,RKO Radio Studio Sound Department; Carl Dreher; Sound Director [came in 3rd],no
1934 (7th),SOUND RECORDING,Imitation of Life,Universal Studio Sound Department; Theodore Soderberg; Sound Director,no
1934 (7th),SOUND RECORDING,One Night of Love,Columbia Studio Sound Department; John Livadary; Sound Director,yes
1934 (7th),SOUND RECORDING,Viva Villa!,Metro-Goldwyn-Mayer Studio Sound Department; Douglas Shearer; Sound Director,no
1934 (7th),SOUND RECORDING,The White Parade,Fox Studio Sound Department; E. H. Hansen; Sound Director,no
1934 (7th),WRITING (Adaptation),It Happened One Night,Robert Riskin,yes
1934 (7th),WRITING (Adaptation),The Thin Man,Frances Goodrich; Albert Hackett [came in 2nd],no
