"Year","AwardSeason","Category","CategoryType","Nominee","Additional Info","Won"
"2011","84","ACTOR","LEADING ROLE","A BETTER LIFE ","Demián Bichir","NO"
"2011","84","ACTOR","LEADING ROLE","THE DESCENDANTS ","George Clooney","NO"
"2011","84","ACTOR","LEADING ROLE","THE ARTIST ","Jean Dujardin","YES"
"2011","84","ACTOR","LEADING ROLE","TINKER TAILOR SOLDIER SPY ","Gary Oldman","NO"
"2011","84","ACTOR","LEADING ROLE","MONEYBALL ","Brad Pitt","NO"
"2011","84","ACTOR","SUPPORTING ROLE","MY WEEK WITH MARILYN ","Kenneth Branagh","NO"
"2011","84","ACTOR","SUPPORTING ROLE","MONEYBALL ","Jonah Hill","NO"
"2011","84","ACTOR","SUPPORTING ROLE","WARRIOR ","Nick Nolte","NO"
"2011","84","ACTOR","SUPPORTING ROLE","BEGINNERS ","Christopher Plummer","YES"
"2011","84","ACTOR","SUPPORTING ROLE","EXTREMELY LOUD & INCREDIBLY CLOSE ","Max von Sydow","NO"
"2011","84","ACTRESS","LEADING ROLE","ALBERT NOBBS ","Glenn Close","NO"
"2011","84","ACTRESS","LEADING ROLE","THE HELP ","Viola Davis","NO"
"2011","84","ACTRESS","LEADING ROLE","THE GIRL WITH THE DRAGON TATTOO ","Rooney Mara","NO"
"2011","84","ACTRESS","LEADING ROLE","THE IRON LADY ","Meryl Streep","YES"
"2011","84","ACTRESS","LEADING ROLE","MY WEEK WITH MARILYN ","Michelle Williams","NO"
"2011","84","ACTRESS","SUPPORTING ROLE","THE ARTIST ","Bérénice Bejo","NO"
"2011","84","ACTRESS","SUPPORTING ROLE","THE HELP ","Jessica Chastain","NO"
"2011","84","ACTRESS","SUPPORTING ROLE","BRIDESMAIDS ","Melissa McCarthy","NO"
"2011","84","ACTRESS","SUPPORTING ROLE","ALBERT NOBBS ","Janet McTeer","NO"
"2011","84","ACTRESS","SUPPORTING ROLE","THE HELP ","Octavia Spencer","YES"
"2011","84","ANIMATED FEATURE FILM",NA,"A CAT IN PARIS","Alain Gagnol and Jean-Loup Felicioli","NO"
"2011","84","ANIMATED FEATURE FILM",NA,"CHICO & RITA","Fernando Trueba and Javier Mariscal","NO"
