"Year","Category","Nominee","Additional.Info","Won."
"1950 (23rd)","ACTOR","The Magnificent Yankee ","Louis Calhern","no"
"1950 (23rd)","ACTOR","Cyrano de Bergerac ","Jos� Ferrer","yes"
"1950 (23rd)","ACTOR","Sunset Blvd. ","William Holden","no"
"1950 (23rd)","ACTOR","Harvey ","James Stewart","no"
"1950 (23rd)","ACTOR","Father of the Bride ","Spencer Tracy","no"
"1950 (23rd)","ACTOR IN A SUPPORTING ROLE","Broken Arrow ","Jeff Chandler","no"
"1950 (23rd)","ACTOR IN A SUPPORTING ROLE","Mister 880 ","Edmund Gwenn","no"
"1950 (23rd)","ACTOR IN A SUPPORTING ROLE","The Asphalt Jungle ","Sam Jaffe","no"
"1950 (23rd)","ACTOR IN A SUPPORTING ROLE","All about Eve ","George Sanders","yes"
"1950 (23rd)","ACTOR IN A SUPPORTING ROLE","Sunset Blvd. ","Erich von Stroheim","no"
"1950 (23rd)","ACTRESS IN A SUPPORTING ROLE","Caged ","Hope Emerson","no"
"1950 (23rd)","ACTRESS IN A SUPPORTING ROLE","All about Eve ","Celeste Holm","no"
"1950 (23rd)","ACTRESS IN A SUPPORTING ROLE","Harvey ","Josephine Hull","yes"
"1950 (23rd)","ACTRESS IN A SUPPORTING ROLE","Sunset Blvd. ","Nancy Olson","no"
"1950 (23rd)","ACTRESS IN A SUPPORTING ROLE","All about Eve ","Thelma Ritter","no"
"1950 (23rd)","ART DIRECTION","All about Eve","Art Direction: Lyle Wheeler; George W. Davis; Set Decoration: Thomas Little; Walter M. Scott","no"
"1950 (23rd)","ART DIRECTION","The Red Danube","Art Direction: Cedric Gibbons; Hans Peters; Set Decoration: Edwin B. Willis; Hugh Hunt","no"
"1950 (23rd)","ART DIRECTION","Sunset Blvd.","Art Direction: Hans Dreier; John Meehan; Set Decoration: Sam Comer; Ray Moyer","yes"
"1950 (23rd)","ART DIRECTION","Annie Get Your Gun","Art Direction: Cedric Gibbons; Paul Groesse; Set Decoration: Edwin B. Willis; Richard A. Pefferle","no"
"1950 (23rd)","ART DIRECTION","Destination Moon","Art Direction: Ernst Fegte; Set Decoration: George Sawley","no"
"1950 (23rd)","ART DIRECTION","Samson and Delilah","Art Direction: Hans Dreier; Walter Tyler; Set Decoration: Sam Comer; Ray Moyer","yes"
"1950 (23rd)","CINEMATOGRAPHY","All about Eve","Milton Krasner","no"
"1950 (23rd)","CINEMATOGRAPHY","The Asphalt Jungle","Harold Rosson","no"
"1950 (23rd)","CINEMATOGRAPHY","The Furies","Victor Milner","no"
"1950 (23rd)","CINEMATOGRAPHY","Sunset Blvd.","John F. Seitz","no"
"1950 (23rd)","CINEMATOGRAPHY","The Third Man","Robert Krasker","yes"
"1950 (23rd)","CINEMATOGRAPHY","Annie Get Your Gun","Charles Rosher","no"
"1950 (23rd)","CINEMATOGRAPHY","Broken Arrow","Ernest Palmer","no"
"1950 (23rd)","CINEMATOGRAPHY","The Flame and the Arrow","Ernest Haller","no"
"1950 (23rd)","CINEMATOGRAPHY","King Solomon's Mines","Robert Surtees","yes"
"1950 (23rd)","CINEMATOGRAPHY","Samson and Delilah","George Barnes","no"
"1950 (23rd)","COSTUME DESIGN","All about Eve","Edith Head; Charles LeMaire","yes"
"1950 (23rd)","COSTUME DESIGN","Born Yesterday","Jean Louis","no"
"1950 (23rd)","COSTUME DESIGN","The Magnificent Yankee","Walter Plunkett","no"
"1950 (23rd)","COSTUME DESIGN","The Black Rose","Michael Whittaker","no"
"1950 (23rd)","COSTUME DESIGN","Samson and Delilah","Edith Head; Dorothy Jeakins; Elois Jenssen; Gile Steele; Gwen Wakeling","yes"
"1950 (23rd)","COSTUME DESIGN","That Forsyte Woman","Walter Plunkett; Valles","no"
"1950 (23rd)","DIRECTING","All about Eve","Joseph L. Mankiewicz","yes"
"1950 (23rd)","DIRECTING","The Asphalt Jungle","John Huston","no"
"1950 (23rd)","DIRECTING","Born Yesterday","George Cukor","no"
"1950 (23rd)","DIRECTING","Sunset Blvd.","Billy Wilder","no"
"1950 (23rd)","DIRECTING","The Third Man","Carol Reed","no"
"1950 (23rd)","FILM EDITING","All about Eve","Barbara McLean","no"
"1950 (23rd)","FILM EDITING","Annie Get Your Gun","James E. Newcom","no"
"1950 (23rd)","FILM EDITING","King Solomon's Mines","Ralph E. Winters; Conrad A. Nervig","yes"
"1950 (23rd)","FILM EDITING","Sunset Blvd.","Arthur Schmidt; Doane Harrison","no"
"1950 (23rd)","FILM EDITING","The Third Man","Oswald Hafenrichter","no"
"1950 (23rd)","MUSIC","All about Eve","Alfred Newman","no"
"1950 (23rd)","MUSIC","The Flame and the Arrow","Max Steiner","no"
"1950 (23rd)","MUSIC","No Sad Songs for Me","George Duning","no"
"1950 (23rd)","MUSIC","Samson and Delilah","Victor Young","no"
