"","Nominee","Year.x","Category.x","Won.x","Year.y","Category.y","Won.y"
"1","12 Years a Slave",2013,"FILM EDITING","no",2013,"BEST PICTURE","yes"
"2","127 Hours",2010,"FILM EDITING","no",2010,"BEST PICTURE","no"
"3","A Beautiful Mind",2001,"FILM EDITING","no",2001,"BEST PICTURE","yes"
"4","A Clockwork Orange",1971,"FILM EDITING","no",1971,"BEST PICTURE","no"
"5","A Few Good Men",1992,"FILM EDITING","no",1992,"BEST PICTURE","no"
"6","A Passage to India",1984,"FILM EDITING","no",1984,"BEST PICTURE","no"
"7","A Place in the Sun",1951,"FILM EDITING","yes",1951,"BEST PICTURE","no"
"8","Airport",1970,"FILM EDITING","no",1970,"BEST PICTURE","no"
"9","All about Eve",1950,"FILM EDITING","no",1950,"BEST PICTURE","yes"
"10","All That Jazz",1979,"FILM EDITING","yes",1979,"BEST PICTURE","no"
"11","All the King's Men",1949,"FILM EDITING","no",1949,"BEST PICTURE","yes"
"12","All the President's Men",1976,"FILM EDITING","no",1976,"BEST PICTURE","no"
"13","Amadeus",1984,"FILM EDITING","no",1984,"BEST PICTURE","yes"
"14","American Beauty",1999,"FILM EDITING","no",1999,"BEST PICTURE","yes"
"15","American Graffiti",1973,"FILM EDITING","no",1973,"BEST PICTURE","no"
"16","American Hustle",2013,"FILM EDITING","no",2013,"BEST PICTURE","no"
"17","American Sniper",2014,"FILM EDITING","no",2014,"BEST PICTURE","no"
"18","An American in Paris",1951,"FILM EDITING","no",1951,"BEST PICTURE","yes"
"19","Anatomy of a Murder",1959,"FILM EDITING","no",1959,"BEST PICTURE","no"
"20","Apocalypse Now",1979,"FILM EDITING","no",1979,"BEST PICTURE","no"
"21","Apollo 13",1995,"FILM EDITING","yes",1995,"BEST PICTURE","no"
"22","Argo",2012,"FILM EDITING","yes",2012,"BEST PICTURE","yes"
"23","Around the World in 80 Days",1956,"FILM EDITING","yes",1956,"BEST PICTURE","yes"
"24","As Good as It Gets",1997,"FILM EDITING","no",1997,"BEST PICTURE","no"
"25","Auntie Mame",1958,"FILM EDITING","no",1958,"BEST PICTURE","no"
"26","Avatar",2009,"FILM EDITING","no",2009,"BEST PICTURE","no"
"27","Babe",1995,"FILM EDITING","no",1995,"BEST PICTURE","no"
"28","Babel",2006,"FILM EDITING","no",2006,"BEST PICTURE","no"
"29","Battleground",1949,"FILM EDITING","no",1949,"BEST PICTURE","no"
"30","Becket",1964,"FILM EDITING","no",1964,"BEST PICTURE","no"
"31","Ben-Hur",1959,"FILM EDITING","yes",1959,"BEST PICTURE","yes"
"32","Black Swan",2010,"FILM EDITING","no",2010,"BEST PICTURE","no"
"33","Born on the Fourth of July",1989,"FILM EDITING","yes",1989,"BEST PICTURE","no"
"34","Bound for Glory",1976,"FILM EDITING","no",1976,"BEST PICTURE","no"
"35","Boyhood",2014,"FILM EDITING","no",2014,"BEST PICTURE","no"
"36","Braveheart",1995,"FILM EDITING","no",1995,"BEST PICTURE","yes"
"37","Broadcast News",1987,"FILM EDITING","no",1987,"BEST PICTURE","no"
"38","Cabaret",1972,"FILM EDITING","yes",1972,"BEST PICTURE","no"
"39","Captain Phillips",2013,"FILM EDITING","no",2013,"BEST PICTURE","no"
"40","Chariots of Fire",1981,"FILM EDITING","no",1981,"BEST PICTURE","yes"
"41","Chicago",2002,"FILM EDITING","yes",2002,"BEST PICTURE","yes"
"42","Chinatown",1974,"FILM EDITING","no",1974,"BEST PICTURE","no"
"43","Cleopatra",1934,"FILM EDITING","no",1963,"BEST PICTURE","no"
"44","Cleopatra",1963,"FILM EDITING","no",1963,"BEST PICTURE","no"
"45","Coal Miner's Daughter",1980,"FILM EDITING","no",1980,"BEST PICTURE","no"
"46","Coming Home",1978,"FILM EDITING","no",1978,"BEST PICTURE","no"
"47","Crash",2005,"FILM EDITING","yes",2005,"BEST PICTURE","yes"
"48","Crouching Tiger; Hidden Dragon",2000,"FILM EDITING","no",2000,"BEST PICTURE","no"
"49","Dallas Buyers Club",2013,"FILM EDITING","no",2013,"BEST PICTURE","no"
"50","Dances With Wolves",1990,"FILM EDITING","yes",1990,"BEST PICTURE","yes"
"51","Decision before Dawn",1951,"FILM EDITING","no",1951,"BEST PICTURE","no"
"52","Deliverance",1972,"FILM EDITING","no",1972,"BEST PICTURE","no"
"53","District 9",2009,"FILM EDITING","no",2009,"BEST PICTURE","no"
"54","Doctor Dolittle",1967,"FILM EDITING","no",1967,"BEST PICTURE","no"
"55","Doctor Zhivago",1965,"FILM EDITING","no",1965,"BEST PICTURE","no"
"56","Dog Day Afternoon",1975,"FILM EDITING","no",1975,"BEST PICTURE","no"
"57","Driving Miss Daisy",1989,"FILM EDITING","no",1989,"BEST PICTURE","yes"
"58","E.T. The Extra-Terrestrial",1982,"FILM EDITING","no",1982,"BEST PICTURE","no"
"59","Fanny",1961,"FILM EDITING","no",1961,"BEST PICTURE","no"
"60","Fargo",1996,"FILM EDITING","no",1996,"BEST PICTURE","no"
