"category","category nomination","won category","bp nomination","bp won","bp lost"
"ACTOR",328,65,173,44,129
"ACTOR IN A SUPPORTING ROLE",325,65,160,51,109
"ACTRESS",328,66,110,19,91
"ACTRESS IN A SUPPORTING ROLE",326,65,141,28,113
"ART DIRECTION",383,79,136,37,99
"CINEMATOGRAPHY",398,79,176,45,131
"COSTUME DESIGN",398,82,110,33,77
"DIRECTING",323,64,240,62,178
"FILM EDITING",323,64,206,57,149
"MAKEUP",97,33,21,10,11
"MUSIC",799,165,162,41,121
"SOUND EDITING",158,45,43,11,32
"SPECIAL EFFECTS",153,56,28,6,22
"WRITING",691,136,287,63,224
