"","Film","Production_Company","Producers","Year","Best_Pic_Oscar","Editor","Edit_Oscar"
"1","Birdman or (The Unexpected Virtue of Ignorance)","Fox Searchlight, Regency Enterprises, Worldview Entertainment","Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole",2014,"t",NA,NA
"2","American Sniper","Warner Bros., Village Roadshow Pictures, Mad Chance Productions, 22nd and Indiana Pictures, Malpaso","Clint Eastwood, Andrew Lazar, Robert Lorenz, Bradley Cooper, and Peter Morgan",2014,"f","Joel Cox and Gary D. Roach","f"
"3","Boyhood","IFC Films","Richard Linklater and Cathleen Sutherland",2014,"f","Sandra Adair","f"
"4","The Grand Budapest Hotel","Fox Searchlight, American Empirical Pictures, Indian Paintbrush, Babelsberg Studio","Wes Anderson, Scott Rudin, Steven Rales, and Jeremy Dawson",2014,"f","Barney Pilling","f"
"5","The Imitation Game","The Weinstein Co., Black Bear Pictures, Bristol Automotive, StudioCanal","Nora Grossman, Ido Ostrowsky, and Teddy Schwarzman",2014,"f","William Goldenberg","f"
"6","Selma","Paramount, Pathé, Cloud Eight Films, Plan B Entertainment, Harpo Films","Christian Colson, Oprah Winfrey, Dede Gardner, and Jeremy Kleiner",2014,"f",NA,NA
"7","The Theory of Everything","Focus Features, Working Title","Tim Bevan, Eric Fellner, Lisa Bruce, and Anthony McCarten",2014,"f",NA,NA
"8","Whiplash","Sony Pictures Classics, Bold Films, Blumhouse Productions, Right of Way Films","Jason Blum, Helen Estabrook, and David Lancaster",2014,"f","Tom Cross","t"
"9","12 Years a Slave","Fox Searchlight, Regency Enterprises, River Road Entertainment, Plan B Entertainment, New Regency, Film4 Productions","Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, and Anthony Katagas",2013,"t","Joe Walker","f"
"10","American Hustle","Columbia, Atlas Entertainment, Annapurna Pictures","Charles Roven, Richard Suckle, Megan Ellison, and Jonathan Gordon",2013,"f","Jay Cassidy, Crispin Struthers and Alan Baumgarten","f"
"11","Captain Phillips","Columbia, Michael De Luca Productions, Scott Rudin Productions, Trigger Street","Scott Rudin, Dana Brunetti, and Michael De Luca",2013,"f","Christopher Rouse","f"
"12","Dallas Buyers Club","Focus Features, Truth Entertainment, Voltage Pictures","Robbie Brenner and Rachel Winter",2013,"f","John Mac McMurphy and Martin Pensa","f"
"13","Gravity","Warner Bros., Esperanto Filmoj, Heyday Films","Alfonso Cuarón and David Heyman",2013,"f","Alfonso Cuarón and Mark Sanger","t"
"14","Her","Warner Bros., Entertainment Film Distributors, Annapurna Pictures","Megan Ellison, Spike Jonze, and Vincent Landay",2013,"f",NA,NA
"15","Nebraska","Paramount Vantage, FilmNation Entertainment","Albert Berger and Ron Yerxa",2013,"f",NA,NA
"16","Philomena","The Weinstein Co., Pathé, BBC Films, British Film Institute, Canal+, Cine+, Baby Cow Productions, Magnolia Mae Films","Gabrielle Tana, Steve Coogan, and Tracey Seaward",2013,"f",NA,NA
"17","The Wolf of Wall Street","Paramount, Universal, Red Granite Pictures, Appian Way Productions, Sikelia Productions, Emjag Productions","Martin Scorsese, Leonardo DiCaprio, Joey McFarland, and Emma Tillinger Koskoff",2013,"f",NA,NA
"18","Argo","Warner Bros., GK Films, Smoke House Pictures","Grant Heslov, Ben Affleck, and George Clooney",2012,"t","William Goldenberg","t"
"19","Amour[K]","Sony Pictures Classics, Les Films du Losange, X Filme Creative Pool, Wega Film Production","Margaret Menegoz, Stefan Arndt, Veit Heiduschka, and Michael Katz",2012,"f",NA,NA
"20","Beasts of the Southern Wild","Fox Searchlight, Cinereach","Dan Janvey, Josh Penn, and Michael Gottwald",2012,"f",NA,NA
"21","Django Unchained","The Weinstein Co., Columbia, Band Apart","Stacey Sher, Reginald Hudlin, and Pilar Savone",2012,"f",NA,NA
