Year,Category,Nominee,Won
1981,ACTOR IN A LEADING ROLE,Reds ,no
1981,ACTOR IN A LEADING ROLE,On Golden Pond ,yes
1981,ACTOR IN A LEADING ROLE,Atlantic City ,no
1981,ACTOR IN A LEADING ROLE,Arthur ,no
1981,ACTOR IN A LEADING ROLE,Absence of Malice ,no
1981,ACTOR IN A SUPPORTING ROLE,Only When I Laugh ,no
1981,ACTOR IN A SUPPORTING ROLE,Arthur ,yes
1981,ACTOR IN A SUPPORTING ROLE,Chariots of Fire ,no
1981,ACTOR IN A SUPPORTING ROLE,Reds ,no
1981,ACTOR IN A SUPPORTING ROLE,Ragtime ,no
1981,ACTRESS IN A LEADING ROLE,On Golden Pond ,yes
1981,ACTRESS IN A LEADING ROLE,Reds ,no
1981,ACTRESS IN A LEADING ROLE,Only When I Laugh ,no
1981,ACTRESS IN A LEADING ROLE,Atlantic City ,no
1981,ACTRESS IN A LEADING ROLE,The French Lieutenant's Woman ,no
1981,ACTRESS IN A SUPPORTING ROLE,Absence of Malice ,no
1981,ACTRESS IN A SUPPORTING ROLE,On Golden Pond ,no
1981,ACTRESS IN A SUPPORTING ROLE,Only When I Laugh ,no
1981,ACTRESS IN A SUPPORTING ROLE,Ragtime ,no
1981,ACTRESS IN A SUPPORTING ROLE,Reds ,yes
1981,CINEMATOGRAPHY,Excalibur,no
1981,CINEMATOGRAPHY,On Golden Pond,no
1981,CINEMATOGRAPHY,Ragtime,no
1981,CINEMATOGRAPHY,Raiders of the Lost Ark,no
1981,CINEMATOGRAPHY,Reds,yes
1981,COSTUME DESIGN,Chariots of Fire,yes
1981,COSTUME DESIGN,The French Lieutenant's Woman,no
1981,COSTUME DESIGN,Pennies from Heaven,no
1981,COSTUME DESIGN,Ragtime,no
1981,COSTUME DESIGN,Reds,no
1981,DIRECTING,Atlantic City,no
1981,DIRECTING,Chariots of Fire,no
1981,DIRECTING,On Golden Pond,no
1981,DIRECTING,Raiders of the Lost Ark,no
1981,DIRECTING,Reds,yes
1981,FILM EDITING,Chariots of Fire,no
1981,FILM EDITING,The French Lieutenant's Woman,no
1981,FILM EDITING,On Golden Pond,no
1981,FILM EDITING,Raiders of the Lost Ark,yes
1981,FILM EDITING,Reds,no
1981,BEST PICTURE,Atlantic City,no
1981,BEST PICTURE,Chariots of Fire,yes
1981,BEST PICTURE,On Golden Pond,no
1981,BEST PICTURE,Raiders of the Lost Ark,no
1981,BEST PICTURE,Reds,no
1982,ACTOR IN A LEADING ROLE,Tootsie ,no
1982,ACTOR IN A LEADING ROLE,Gandhi ,yes
1982,ACTOR IN A LEADING ROLE,Missing ,no
1982,ACTOR IN A LEADING ROLE,The Verdict ,no
1982,ACTOR IN A LEADING ROLE,My Favorite Year ,no
1982,ACTOR IN A SUPPORTING ROLE,The Best Little Whorehouse in Texas ,no
1982,ACTOR IN A SUPPORTING ROLE,An Officer and a Gentleman ,yes
1982,ACTOR IN A SUPPORTING ROLE,The World According to Garp ,no
1982,ACTOR IN A SUPPORTING ROLE,The Verdict ,no
1982,ACTOR IN A SUPPORTING ROLE,Victor/Victoria ,no
1982,ACTRESS IN A LEADING ROLE,Victor/Victoria ,no
1982,ACTRESS IN A LEADING ROLE,Frances ,no
1982,ACTRESS IN A LEADING ROLE,Missing ,no
1982,ACTRESS IN A LEADING ROLE,Sophie's Choice ,yes
1982,ACTRESS IN A LEADING ROLE,An Officer and a Gentleman ,no
1982,ACTRESS IN A SUPPORTING ROLE,The World According to Garp ,no
1982,ACTRESS IN A SUPPORTING ROLE,Tootsie ,no
1982,ACTRESS IN A SUPPORTING ROLE,Tootsie ,yes
1982,ACTRESS IN A SUPPORTING ROLE,Frances ,no
1982,ACTRESS IN A SUPPORTING ROLE,Victor/Victoria ,no
1982,CINEMATOGRAPHY,Das Boot,no
1982,CINEMATOGRAPHY,E.T. The Extra-Terrestrial,no
1982,CINEMATOGRAPHY,Gandhi,yes
1982,CINEMATOGRAPHY,Sophie's Choice,no
1982,CINEMATOGRAPHY,Tootsie,no
1982,COSTUME DESIGN,Gandhi,yes
1982,COSTUME DESIGN,La Traviata,no
1982,COSTUME DESIGN,Sophie's Choice,no
1982,COSTUME DESIGN,Tron,no
1982,COSTUME DESIGN,Victor/Victoria,no
1982,DIRECTING,Das Boot,no
1982,DIRECTING,E.T. The Extra-Terrestrial,no
1982,DIRECTING,Gandhi,yes
1982,DIRECTING,Tootsie,no
1982,DIRECTING,The Verdict,no
1982,FILM EDITING,Das Boot,no
1982,FILM EDITING,E.T. The Extra-Terrestrial,no
1982,FILM EDITING,Gandhi,yes
1982,FILM EDITING,An Officer and a Gentleman,no
1982,FILM EDITING,Tootsie,no
1982,BEST PICTURE,E.T. The Extra-Terrestrial,no
1982,BEST PICTURE,Gandhi,yes
1982,BEST PICTURE,Missing,no
1982,BEST PICTURE,Tootsie,no
1982,BEST PICTURE,The Verdict,no
1983,ACTOR IN A LEADING ROLE,Educating Rita ,no
1983,ACTOR IN A LEADING ROLE,Reuben; Reuben ,no
1983,ACTOR IN A LEADING ROLE,The Dresser ,no
1983,ACTOR IN A LEADING ROLE,Tender Mercies ,yes
1983,ACTOR IN A LEADING ROLE,The Dresser ,no
1983,ACTOR IN A SUPPORTING ROLE,To Be or Not to Be ,no
1983,ACTOR IN A SUPPORTING ROLE,Terms of Endearment ,no
1983,ACTOR IN A SUPPORTING ROLE,Terms of Endearment ,yes
1983,ACTOR IN A SUPPORTING ROLE,The Right Stuff ,no
1983,ACTOR IN A SUPPORTING ROLE,Cross Creek ,no
1983,ACTRESS IN A LEADING ROLE,Testament ,no
1983,ACTRESS IN A LEADING ROLE,Terms of Endearment ,yes
1983,ACTRESS IN A LEADING ROLE,Silkwood ,no
1983,ACTRESS IN A LEADING ROLE,Educating Rita ,no
1983,ACTRESS IN A LEADING ROLE,Terms of Endearment ,no
1983,ACTRESS IN A SUPPORTING ROLE,Silkwood ,no
1983,ACTRESS IN A SUPPORTING ROLE,The Big Chill ,no
1983,ACTRESS IN A SUPPORTING ROLE,The Year of Living Dangerously ,yes
1983,ACTRESS IN A SUPPORTING ROLE,Yentl ,no
1983,ACTRESS IN A SUPPORTING ROLE,Cross Creek ,no
1983,CINEMATOGRAPHY,Fanny & Alexander,yes
1983,CINEMATOGRAPHY,Flashdance,no
1983,CINEMATOGRAPHY,The Right Stuff,no
1983,CINEMATOGRAPHY,WarGames,no
1983,CINEMATOGRAPHY,Zelig,no
1983,COSTUME DESIGN,Cross Creek,no
1983,COSTUME DESIGN,Fanny & Alexander,yes
1983,COSTUME DESIGN,Heart Like a Wheel,no
1983,COSTUME DESIGN,The Return of Martin Guerre,no
1983,COSTUME DESIGN,Zelig,no
1983,DIRECTING,The Dresser,no
1983,DIRECTING,Fanny & Alexander,no
1983,DIRECTING,Silkwood,no
1983,DIRECTING,Tender Mercies,no
1983,DIRECTING,Terms of Endearment,yes
1983,FILM EDITING,Blue Thunder,no
1983,FILM EDITING,Flashdance,no
1983,FILM EDITING,The Right Stuff,yes
1983,FILM EDITING,Silkwood,no
1983,FILM EDITING,Terms of Endearment,no
1983,BEST PICTURE,The Big Chill,no
1983,BEST PICTURE,The Dresser,no
1983,BEST PICTURE,The Right Stuff,no
1983,BEST PICTURE,Tender Mercies,no
1983,BEST PICTURE,Terms of Endearment,yes
1984,ACTOR IN A LEADING ROLE,Amadeus ,yes
1984,ACTOR IN A LEADING ROLE,Starman ,no
1984,ACTOR IN A LEADING ROLE,Under the Volcano ,no
1984,ACTOR IN A LEADING ROLE,Amadeus ,no
1984,ACTOR IN A LEADING ROLE,The Killing Fields ,no
1984,ACTOR IN A SUPPORTING ROLE,A Soldier's Story ,no
1984,ACTOR IN A SUPPORTING ROLE,Places in the Heart ,no
1984,ACTOR IN A SUPPORTING ROLE,The Karate Kid ,no
1984,ACTOR IN A SUPPORTING ROLE,The Killing Fields ,yes
1984,ACTOR IN A SUPPORTING ROLE,Greystoke: The Legend of Tarzan; Lord of the Apes ,no
1984,ACTRESS IN A LEADING ROLE,A Passage to India ,no
1984,ACTRESS IN A LEADING ROLE,Places in the Heart ,yes
1984,ACTRESS IN A LEADING ROLE,Country ,no
1984,ACTRESS IN A LEADING ROLE,The Bostonians ,no
1984,ACTRESS IN A LEADING ROLE,The River ,no
1984,ACTRESS IN A SUPPORTING ROLE,A Passage to India ,yes
1984,ACTRESS IN A SUPPORTING ROLE,The Natural ,no
1984,ACTRESS IN A SUPPORTING ROLE,Places in the Heart ,no
1984,ACTRESS IN A SUPPORTING ROLE,Swing Shift ,no
1984,ACTRESS IN A SUPPORTING ROLE,The Pope of Greenwich Village ,no
1984,CINEMATOGRAPHY,Amadeus,no
1984,CINEMATOGRAPHY,The Killing Fields,yes
1984,CINEMATOGRAPHY,The Natural,no
1984,CINEMATOGRAPHY,A Passage to India,no
1984,CINEMATOGRAPHY,The River,no
1984,COSTUME DESIGN,Amadeus,yes
1984,COSTUME DESIGN,The Bostonians,no
1984,COSTUME DESIGN,A Passage to India,no
1984,COSTUME DESIGN,Places in the Heart,no
1984,COSTUME DESIGN,2010,no
1984,DIRECTING,Amadeus,yes
1984,DIRECTING,Broadway Danny Rose,no
1984,DIRECTING,The Killing Fields,no
1984,DIRECTING,A Passage to India,no
1984,DIRECTING,Places in the Heart,no
1984,FILM EDITING,Amadeus,no
1984,FILM EDITING,The Cotton Club,no
1984,FILM EDITING,The Killing Fields,yes
1984,FILM EDITING,A Passage to India,no
1984,FILM EDITING,Romancing the Stone,no
1984,BEST PICTURE,Amadeus,yes
1984,BEST PICTURE,The Killing Fields,no
1984,BEST PICTURE,A Passage to India,no
1984,BEST PICTURE,Places in the Heart,no
1984,BEST PICTURE,A Soldier's Story,no
1985,ACTOR IN A LEADING ROLE,Witness ,no
1985,ACTOR IN A LEADING ROLE,Murphy's Romance ,no
1985,ACTOR IN A LEADING ROLE,Kiss of the Spider Woman ,yes
1985,ACTOR IN A LEADING ROLE,Prizzi's Honor ,no
1985,ACTOR IN A LEADING ROLE,Runaway Train ,no
1985,ACTOR IN A SUPPORTING ROLE,Cocoon ,yes
1985,ACTOR IN A SUPPORTING ROLE,Out of Africa ,no
1985,ACTOR IN A SUPPORTING ROLE,Prizzi's Honor ,no
1985,ACTOR IN A SUPPORTING ROLE,Jagged Edge ,no
1985,ACTOR IN A SUPPORTING ROLE,Runaway Train ,no
1985,ACTRESS IN A LEADING ROLE,Agnes of God ,no
1985,ACTRESS IN A LEADING ROLE,The Color Purple ,no
1985,ACTRESS IN A LEADING ROLE,Sweet Dreams ,no
1985,ACTRESS IN A LEADING ROLE,The Trip to Bountiful ,yes
1985,ACTRESS IN A LEADING ROLE,Out of Africa ,no
1985,ACTRESS IN A SUPPORTING ROLE,The Color Purple ,no
1985,ACTRESS IN A SUPPORTING ROLE,Prizzi's Honor ,yes
