"Year","Category","Nominee","Won"
"1934 (7th)","ACTOR","It Happened One Night ","yes"
"1934 (7th)","ACTOR","The Affairs of Cellini  ","no"
"1934 (7th)","ACTOR","The Thin Man  ","no"
"1934 (7th)","ACTRESS","It Happened One Night ","yes"
"1934 (7th)","ACTRESS","Of Human Bondage  ","no"
"1934 (7th)","ACTRESS","NA","no"
"1934 (7th)","ACTRESS","One Night of Love ","no"
"1934 (7th)","ACTRESS","The Barretts of Wimpole Street  ","no"
"1934 (7th)","CINEMATOGRAPHY","The Affairs of Cellini","no"
"1934 (7th)","CINEMATOGRAPHY","Cleopatra","yes"
"1934 (7th)","CINEMATOGRAPHY","Operator 13","no"
"1934 (7th)","DIRECTING","It Happened One Night","yes"
"1934 (7th)","DIRECTING","One Night of Love","no"
"1934 (7th)","DIRECTING","The Thin Man","no"
"1934 (7th)","FILM EDITING","Cleopatra","no"
"1934 (7th)","FILM EDITING","Eskimo","yes"
"1934 (7th)","FILM EDITING","One Night of Love","no"
"1935 (8th)","ACTOR","Mutiny on the Bounty ","no"
"1935 (8th)","ACTOR","Mutiny on the Bounty  ","no"
"1935 (8th)","ACTOR","The Informer ","yes"
"1935 (8th)","ACTOR","Black Fury  ","no"
"1935 (8th)","ACTOR","NA","no"
"1935 (8th)","ACTOR","Mutiny on the Bounty ","no"
"1935 (8th)","ACTRESS","Escape Me Never  ","no"
"1935 (8th)","ACTRESS","Private Worlds ","no"
"1935 (8th)","ACTRESS","Dangerous ","yes"
"1935 (8th)","ACTRESS","Alice Adams  ","no"
"1935 (8th)","ACTRESS","Becky Sharp ","no"
"1935 (8th)","ACTRESS","The Dark Angel ","no"
"1935 (8th)","CINEMATOGRAPHY","Barbary Coast","no"
"1935 (8th)","CINEMATOGRAPHY","The Crusades","no"
"1935 (8th)","CINEMATOGRAPHY","Les Miserables","no"
"1935 (8th)","CINEMATOGRAPHY","A Midsummer Night's Dream","yes"
"1935 (8th)","CINEMATOGRAPHY","NA","no"
"1935 (8th)","DIRECTING","Captain Blood","no"
"1935 (8th)","DIRECTING","NA","no"
"1935 (8th)","DIRECTING","The Informer","yes"
"1935 (8th)","DIRECTING","The Lives of a Bengal Lancer","no"
"1935 (8th)","DIRECTING","Mutiny on the Bounty","no"
"1935 (8th)","FILM EDITING","David Copperfield","no"
"1935 (8th)","FILM EDITING","The Informer","no"
"1935 (8th)","FILM EDITING","Les Miserables","no"
"1935 (8th)","FILM EDITING","The Lives of a Bengal Lancer","no"
"1935 (8th)","FILM EDITING","A Midsummer Night's Dream","yes"
"1935 (8th)","FILM EDITING","Mutiny on the Bounty","no"
"1936 (9th)","ACTOR","Mr. Deeds Goes to Town ","no"
"1936 (9th)","ACTOR","Dodsworth ","no"
"1936 (9th)","ACTOR","The Story of Louis Pasteur ","yes"
"1936 (9th)","ACTOR","My Man Godfrey ","no"
"1936 (9th)","ACTOR","San Francisco ","no"
"1936 (9th)","ACTOR IN A SUPPORTING ROLE","My Man Godfrey ","no"
"1936 (9th)","ACTOR IN A SUPPORTING ROLE","Come and Get It ","yes"
"1936 (9th)","ACTOR IN A SUPPORTING ROLE","Pigskin Parade ","no"
"1936 (9th)","ACTOR IN A SUPPORTING ROLE","Romeo and Juliet ","no"
"1936 (9th)","ACTOR IN A SUPPORTING ROLE","The General Died at Dawn ","no"
"1936 (9th)","ACTRESS","Theodora Goes Wild ","no"
"1936 (9th)","ACTRESS","Valiant Is the Word for Carrie ","no"
"1936 (9th)","ACTRESS","My Man Godfrey ","no"
"1936 (9th)","ACTRESS","The Great Ziegfeld ","yes"
"1936 (9th)","ACTRESS","Romeo and Juliet ","no"
"1936 (9th)","ACTRESS IN A SUPPORTING ROLE","The Gorgeous Hussy ","no"
"1936 (9th)","ACTRESS IN A SUPPORTING ROLE","My Man Godfrey ","no"
"1936 (9th)","ACTRESS IN A SUPPORTING ROLE","These Three ","no"
"1936 (9th)","ACTRESS IN A SUPPORTING ROLE","Dodsworth ","no"
"1936 (9th)","ACTRESS IN A SUPPORTING ROLE","Anthony Adverse ","yes"
"1936 (9th)","CINEMATOGRAPHY","Anthony Adverse","yes"
"1936 (9th)","CINEMATOGRAPHY","The General Died at Dawn","no"
"1936 (9th)","CINEMATOGRAPHY","The Gorgeous Hussy","no"
"1936 (9th)","DIRECTING","Dodsworth","no"
"1936 (9th)","DIRECTING","The Great Ziegfeld","no"
"1936 (9th)","DIRECTING","Mr. Deeds Goes to Town","yes"
"1936 (9th)","DIRECTING","My Man Godfrey","no"
"1936 (9th)","DIRECTING","San Francisco","no"
"1936 (9th)","FILM EDITING","Anthony Adverse","yes"
"1936 (9th)","FILM EDITING","Come and Get It","no"
"1936 (9th)","FILM EDITING","The Great Ziegfeld","no"
"1936 (9th)","FILM EDITING","Lloyds of London","no"
"1936 (9th)","FILM EDITING","A Tale of Two Cities","no"
"1936 (9th)","FILM EDITING","Theodora Goes Wild","no"
"1937 (10th)","ACTOR","Conquest ","no"
"1937 (10th)","ACTOR","A Star Is Born ","no"
"1937 (10th)","ACTOR","Night Must Fall ","no"
"1937 (10th)","ACTOR","The Life of Emile Zola ","no"
"1937 (10th)","ACTOR","Captains Courageous ","yes"
"1937 (10th)","ACTOR IN A SUPPORTING ROLE","The Awful Truth ","no"
