"Year","Category","Nominee","Won"
1934,"ACTOR IN A LEADING ROLE","It Happened One Night","yes"
1934,"ACTOR IN A LEADING ROLE","The Affairs of Cellini ","no"
1934,"ACTOR IN A LEADING ROLE","The Thin Man ","no"
1934,"ACTRESS IN A LEADING ROLE","It Happened One Night","yes"
1934,"ACTRESS IN A LEADING ROLE","Of Human Bondage ","no"
1934,"ACTRESS IN A LEADING ROLE",NA,"no"
1934,"ACTRESS IN A LEADING ROLE","One Night of Love","no"
1934,"ACTRESS IN A LEADING ROLE","The Barretts of Wimpole Street ","no"
1934,"CINEMATOGRAPHY","The Affairs of Cellini","no"
1934,"CINEMATOGRAPHY","Cleopatra","yes"
1934,"CINEMATOGRAPHY","Operator 13","no"
1934,"DIRECTING","It Happened One Night","yes"
1934,"DIRECTING","One Night of Love","no"
1934,"DIRECTING","The Thin Man","no"
1934,"FILM EDITING","Cleopatra","no"
1934,"FILM EDITING","Eskimo","yes"
1934,"FILM EDITING","One Night of Love","no"
1935,"ACTOR IN A LEADING ROLE","Mutiny on the Bounty","no"
1935,"ACTOR IN A LEADING ROLE","Mutiny on the Bounty ","no"
1935,"ACTOR IN A LEADING ROLE","The Informer","yes"
1935,"ACTOR IN A LEADING ROLE","Black Fury ","no"
1935,"ACTOR IN A LEADING ROLE",NA,"no"
1935,"ACTOR IN A LEADING ROLE","Mutiny on the Bounty","no"
1935,"ACTRESS IN A LEADING ROLE","Escape Me Never ","no"
1935,"ACTRESS IN A LEADING ROLE","Private Worlds","no"
1935,"ACTRESS IN A LEADING ROLE","Dangerous","yes"
1935,"ACTRESS IN A LEADING ROLE","Alice Adams ","no"
1935,"ACTRESS IN A LEADING ROLE","Becky Sharp","no"
1935,"ACTRESS IN A LEADING ROLE","The Dark Angel","no"
1935,"CINEMATOGRAPHY","Barbary Coast","no"
1935,"CINEMATOGRAPHY","The Crusades","no"
1935,"CINEMATOGRAPHY","Les Miserables","no"
1935,"CINEMATOGRAPHY","A Midsummer Night's Dream","yes"
1935,"CINEMATOGRAPHY",NA,"no"
1935,"DIRECTING","Captain Blood","no"
1935,"DIRECTING",NA,"no"
1935,"DIRECTING","The Informer","yes"
1935,"DIRECTING","The Lives of a Bengal Lancer","no"
1935,"DIRECTING","Mutiny on the Bounty","no"
1935,"FILM EDITING","David Copperfield","no"
1935,"FILM EDITING","The Informer","no"
1935,"FILM EDITING","Les Miserables","no"
1935,"FILM EDITING","The Lives of a Bengal Lancer","no"
1935,"FILM EDITING","A Midsummer Night's Dream","yes"
1935,"FILM EDITING","Mutiny on the Bounty","no"
1936,"ACTOR IN A LEADING ROLE","Mr. Deeds Goes to Town","no"
1936,"ACTOR IN A LEADING ROLE","Dodsworth","no"
1936,"ACTOR IN A LEADING ROLE","The Story of Louis Pasteur","yes"
1936,"ACTOR IN A LEADING ROLE","My Man Godfrey","no"
1936,"ACTOR IN A LEADING ROLE","San Francisco","no"
1936,"ACTOR IN A SUPPORTING ROLE","My Man Godfrey","no"
1936,"ACTOR IN A SUPPORTING ROLE","Come and Get It","yes"
1936,"ACTOR IN A SUPPORTING ROLE","Pigskin Parade","no"
